max_distinct_coeffs,constraints,opt_avg_red,opt_std_red,avg_wall_time_sec_per_constraint
5,1600,0.2836260184120574,0.3682877898909591,0.0072033792734146115
10,1600,0.25226962796835084,0.35445800464211136,0.007144442945718765
15,1600,0.2507908461561228,0.35866099424693776,0.007186653017997742
20,1600,0.24471639108923837,0.3547977819673284,0.007327613085508346
25,1600,0.2580092160886714,0.362101153873321,0.007242986410856247
30,1600,0.24663317884547087,0.3549083812896265,0.007305570989847183
35,1600,0.24747238270039643,0.356575344887846,0.007169682532548904
