domain_ub,constraints,opt_avg_red,opt_std_red,avg_wall_time_sec_per_constraint
1,2800,0.4715721978077821,0.38220257621972653,1.1148197310311453e-5
2,2800,0.25324259232124946,0.3570496466635759,0.00019211488110678536
3,2800,0.16419751808372718,0.30361974411842757,0.0029606689725603375
4,2800,0.13014064107884596,0.2797577892213959,0.025739112666675022
