nvars,constraints,opt_avg_red,opt_std_red,avg_wall_time_sec_per_constraint
3,1400,0.7270691233922105,0.3422733881378045,2.6491710117885046e-6
4,1400,0.5280840271423254,0.3578708755473597,5.383491516113281e-6
5,1400,0.33114542291275484,0.35002708064082033,1.610398292541504e-5
6,1400,0.1897044100335509,0.2970797962689149,6.670849663870675e-5
7,1400,0.12860744662237364,0.2451829301902962,0.0003377008438110352
8,1400,0.06899346406456092,0.17585308647596146,0.0017028471401759556
9,1400,0.044284220883789666,0.1346390676357706,0.009029229709080287
10,1400,0.02041778353164355,0.08334246414216627,0.04664546660014561
