anchored,strategy,avg_b_fix,avg_p_pat,avg_dom_red,avg_time
yes,full,0.55767461039821364,0.06451068078038999,0.6069986972854029,0.036294779777526855
yes,mod2,0.36333782723393698,0.068053420703422768,0.41751744346810349,0.021111394564310711
yes,mod4,0.5478323703877328,0.066120077684416106,0.59834776408924717,0.032007559339205426
no,full,0.069548404883081935,0.19004015280635445,0.2303451647846341,0.051368928750356049
no,mod2,0.064371160221353918,0.087130470396644094,0.14950628347201272,0.010927342176437376
no,mod4,0.069120239529942368,0.19013316472364197,0.22988434827273513,0.039953146974245714
