type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
2-connected-sparse,119,0.32213162503935439,0.076302729180564216,0.38334891409749372,0.023707376321156819
2-connected-dense,450,0.86052593844090342,0.021928191595312525,0.88135081184046049,0.031331842740376793
laman,103,0.14052327452767893,0.088245413660375666,0.20817267898497596,0.015376624266306559
globally-rigid,104,0.13017047092781114,0.085737348377438655,0.19719736894948367,0.01402973492940267
