density,constraints,opt_avg_red,opt_std_red,tw_1,tw_2,tw_3,tw_ge4,avg_wall_time_sec_per_constraint
0.1,100,0.1544738072814698,0.2281337491507801,54.0,45.0,1.0,0.0,1.559257507324219e-5
0.2,100,0.12493432380313184,0.19604992315244438,29.0,66.0,5.0,0.0,1.646280288696289e-5
0.3,100,0.13355558592594197,0.22547042334752215,11.0,77.0,12.0,0.0,1.7862319946289063e-5
0.4,100,0.17968171521461,0.23998798143047279,5.0,60.0,35.0,0.0,1.917123794555664e-5
0.5,100,0.1481118644427468,0.2500996667678207,1.0,53.0,46.0,0.0,2.006053924560547e-5
0.6,100,0.14936790333849154,0.24046261407282807,0.0,40.0,57.0,3.0,2.1584033966064453e-5
0.7,100,0.1798042774219245,0.2460577480451118,0.0,14.0,74.0,12.0,2.2449493408203124e-5
0.8,100,0.11980608770314653,0.18040123089155072,0.0,9.0,60.0,31.0,2.3071765899658202e-5
0.9,100,0.19108339128192067,0.2223221405801353,0.0,0.0,44.0,56.0,2.3734569549560546e-5
1.0,100,0.23667072796484556,0.28775436932770226,0.0,0.0,0.0,100.0,2.4316310882568358e-5
