strategy,moduli,num_moduli,processed_constraints,improved_constraints,avg_relative_bound_tightening,infeasibilities
dense_32_64,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64,33,158,91,0.45315217643346956,0
primes_2_64,2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 53 59 61,18,158,80,0.3599283420593724,0
prime_powers_2_64,2 3 4 5 7 8 9 11 13 16 17 19 23 25 27 29 31 32 37 41 43 47 49 53 59 61 64,27,158,85,0.39369622851664243,0
