strategy,max_modulus,modulus_order,modulus,num_moduli,processed_constraints,improved_constraints,avg_relative_bound_tightening,strategy_time_sec,infeasibilities,modulus_evaluated_constraints,modulus_bound_tightened_constraints,modulus_lower_bound_tightenings,modulus_upper_bound_tightenings,modulus_infeasibilities
prime_powers_2_M,64,5,7,27,959,230,0.0889628750865073,2.174800157546997,0,959,37,22,26,0
prime_powers_2_M,64,6,8,27,959,230,0.0889628750865073,2.174800157546997,0,959,20,15,10,0
prime_powers_2_M,64,7,9,27,959,230,0.0889628750865073,2.174800157546997,0,959,35,23,17,0
prime_powers_2_M,64,8,11,27,959,230,0.0889628750865073,2.174800157546997,0,959,18,11,12,0
prime_powers_2_M,64,9,13,27,959,230,0.0889628750865073,2.174800157546997,0,959,17,10,12,0
prime_powers_2_M,64,10,16,27,959,230,0.0889628750865073,2.174800157546997,0,959,16,9,11,0
prime_powers_2_M,64,11,17,27,959,230,0.0889628750865073,2.174800157546997,0,959,19,11,10,0
prime_powers_2_M,64,12,19,27,959,230,0.0889628750865073,2.174800157546997,0,959,21,12,12,0
prime_powers_2_M,64,13,23,27,959,230,0.0889628750865073,2.174800157546997,0,959,19,14,8,0
prime_powers_2_M,64,14,25,27,959,230,0.0889628750865073,2.174800157546997,0,959,20,13,11,0
prime_powers_2_M,64,15,27,27,959,230,0.0889628750865073,2.174800157546997,0,959,15,9,7,0
prime_powers_2_M,64,16,29,27,959,230,0.0889628750865073,2.174800157546997,0,959,20,16,8,0
prime_powers_2_M,64,17,31,27,959,230,0.0889628750865073,2.174800157546997,0,959,22,16,12,0
prime_powers_2_M,64,18,32,27,959,230,0.0889628750865073,2.174800157546997,0,959,11,6,7,0
prime_powers_2_M,64,19,37,27,959,230,0.0889628750865073,2.174800157546997,0,959,24,14,13,0
prime_powers_2_M,64,20,41,27,959,230,0.0889628750865073,2.174800157546997,0,959,20,13,7,0
prime_powers_2_M,64,21,43,27,959,230,0.0889628750865073,2.174800157546997,0,959,27,16,17,0
prime_powers_2_M,64,22,47,27,959,230,0.0889628750865073,2.174800157546997,0,959,23,13,12,0
prime_powers_2_M,64,23,49,27,959,230,0.0889628750865073,2.174800157546997,0,959,26,14,14,0
prime_powers_2_M,64,24,53,27,959,230,0.0889628750865073,2.174800157546997,0,959,18,9,9,0
prime_powers_2_M,64,25,59,27,959,230,0.0889628750865073,2.174800157546997,0,959,12,5,7,0
prime_powers_2_M,64,26,61,27,959,230,0.0889628750865073,2.174800157546997,0,959,15,6,9,0
prime_powers_2_M,64,27,64,27,959,230,0.0889628750865073,2.174800157546997,0,959,7,2,5,0
