(13.050000000000001, 0)
(47.039999999999999, 0.092404222121463195)
(23.620000000000001, 0)
(10.01, 0)
(46.539999999999999, 0)
(3.79, 0)
(27.75, 0)
(25.170000000000002, 0.0086024527760335447)
(21.399999999999999, 0)
(24.050000000000001, 0)
(29.289999999999999, 0)
(34.590000000000003, 0)
(35.780000000000001, 0.009370467173355523)
(26.57, 0)
(33.130000000000003, 0.037656228179690721)
(17.030000000000001, 0.031215115615625937)
(34.75, 0.0038408692559080511)
(22.739999999999998, 0.12675105072137008)
(23.510000000000002, 0.0086337561648750262)
(41.840000000000003, 0.012815193517725877)
(10.050000000000001, 0)
(50.490000000000002, 0.0013753186782677067)
(8.3300000000000001, 0)
(8.6899999999999995, 0)
(19.16, 0)
(51, 0.051751823920835965)
(28.34, 0)
(28.219999999999999, 0.0022533420458908599)
(34.969999999999999, 0)
(21.039999999999999, 0.14032493130335075)
(11.27, 0)
(45.43, 0)
(51.670000000000002, 0.0055102632422608178)
(4.0700000000000003, 0.024531140502443777)
(33.299999999999997, 0)
(32.920000000000002, 0)
(26.579999999999998, 0)
(18.77, 0.0053196987763766889)
(41.840000000000003, 0)
(33.68, 0.0012272417457748681)
(31.59, 0)
(10.630000000000001, 0.2144138128785377)
(13.449999999999999, 0.03211683552018442)
(11.19, 0)
(31.5, 0)
(38.640000000000001, 0.20165423973226382)
(27.469999999999999, 0)
(44.32, 0)
(28.280000000000001, 0)
(35.93, 0.002015549854124304)
(49.890000000000001, 0)
(14.9, 0.0042963147105714644)
(33.530000000000001, 0)
(20.789999999999999, 0)
(7.5, 0)
(5.0800000000000001, 0.0045284118616765907)
(24.75, 0)
(13.720000000000001, 0)
(7.4500000000000002, 0.0021554324333928816)
(5.6699999999999999, 0)
(14.67, 0)
(22.52, 0)
(20.329999999999998, 0.0097124861124668321)
(21.09, 0)
(12.140000000000001, 0)
(5.96, 0)
(4, 0.30471380094643585)
(49.119999999999997, 0)
(6.0499999999999998, 0)
(9.1600000000000001, 0)
(10.449999999999999, 0.30802079276039057)
(23.670000000000002, 0)
(41.640000000000001, 0.0068926392958072709)
(16.140000000000001, 0)
(22.350000000000001, 0)
(54.149999999999999, 0)
(7.0099999999999998, 0)
(40.659999999999997, 0.0058801782750608645)
(30.98, 0.012508568452029085)
(47.090000000000003, 0)
(36.420000000000002, 0.0020641728590958621)
(51.969999999999999, 0)
(35.479999999999997, 0)
(47.200000000000003, 0.015225101545277474)
(34.780000000000001, 0.011552644464133094)
(16.5, 0)
(36.219999999999999, 0)
(45.240000000000002, 0)
(48.68, 0.0072822322136566076)
(53.729999999999997, 0)
(12.68, 0)
(36.329999999999998, 0.30254656990390466)
(48.030000000000001, 0.048151551380919616)
(11.83, 0.0017696413496162613)
(37.969999999999999, 0)
(32.369999999999997, 0)
(14.029999999999999, 0)
(15.25, 0)
(16.350000000000001, 0)
(50.43, 0)
(19.57, 0.16947162655433959)
(28.75, 0.035001071158143326)
(43.359999999999999, 0.062969227074521864)
(42.399999999999999, 0.0039290677695139392)
(34.890000000000001, 0)
(27.16, 0)
(28.109999999999999, 0)
(12.99, 0)
(11.35, 0.012309363732039986)
(37.170000000000002, 0)
(29.199999999999999, 0)
(17.699999999999999, 0)
(15.75, 0)
(21.079999999999998, 0.37945351299303687)
(27.489999999999998, 0.0013282705175222819)
(34.640000000000001, 0.42580262245004113)
(34.740000000000002, 0.011418182881825627)
(45.759999999999998, 0)
(21.59, 0)
(24.879999999999999, 0.05546391069956183)
(44.789999999999999, 0)
(30.07, 0.11572356351291642)
(9.7400000000000002, 0.008980917194687613)
(49.119999999999997, 0.0017252339990264885)
(40.25, 0)
(30.52, 0.06739235253910926)
(36.670000000000002, 0.0020361116066814479)
(29.530000000000001, 0.027727084199551791)
(4.3200000000000003, 0.024114745702112233)
(37.990000000000002, 0.0019337424712483845)
(9.4000000000000004, 0)
(10.73, 0)
(38.609999999999999, 0)
(47.899999999999999, 0.012583595486011604)
(33.229999999999997, 0)
(8.6999999999999993, 0)
(3.9399999999999999, 0.0017085481162079745)
(20.140000000000001, 0.046171291475332839)
(11.65, 0)
(11.16, 0)
(33.32, 0)
(15.26, 0)
(42.509999999999998, 0)
(4.9100000000000001, 0.98223963550533488)
(7.2400000000000002, 0)
(5.9699999999999998, 0)
(19.989999999999998, 0)
(26.190000000000001, 0)
(52.530000000000001, 0.013076741467321936)
(13.460000000000001, 0.0028924340757961382)
(14.65, 0)
(22.75, 0)
(40.979999999999997, 0)
(37.850000000000001, 0.0035437363431840159)
(35.460000000000001, 0)
(30.239999999999998, 0)
(23.449999999999999, 0)
(10.890000000000001, 0)
(21.850000000000001, 0)
(52.140000000000001, 0)
(10.85, 0)
(49.18, 0)
(11.15, 0.0050091151486595948)
(35.549999999999997, 0)
(48.18, 0.070512740600795279)
(20.420000000000002, 0)
(14.33, 0)
(48.140000000000001, 0.010988433093022283)
(30.940000000000001, 0)
(5.4100000000000001, 0)
(4.5, 0.0064501278812453249)
(43.579999999999998, 0.048732984699281147)
(11.4, 0.99216822907157809)
(23.850000000000001, 0.0086535165636641119)
(53.170000000000002, 0)
(26.079999999999998, 0)
(7.5199999999999996, 0)
(13.17, 0.068539059266688171)
(26.23, 0)
(18.460000000000001, 0.0072747584322824556)
(48.520000000000003, 0)
(24.890000000000001, 0.98972265562907213)
(34.079999999999998, 0)
(29.370000000000001, 0.0063780855716908339)
(8.6799999999999997, 0.095909611253081964)
(29.43, 0)
(33.539999999999999, 0)
(35.75, 0)
(9.9000000000000004, 0)
(11.449999999999999, 0)
(26.420000000000002, 0.053580638543324698)
(5.0199999999999996, 0)
(49.969999999999999, 0.25671107655947645)
(26.93, 0.31424241043595319)
(12.24, 0)
(39.490000000000002, 0.10901053511567563)
(22.350000000000001, 0)
(15.51, 0.013531759036367996)
(33.899999999999999, 0)
(42.890000000000001, 0)
(36, 1)
(33.259999999999998, 0.19247757347440778)
(51.490000000000002, 1)
(46.829999999999998, 1)
(31.780000000000001, 1)
(14.18, 1)
(40.68, 1)
(39.659999999999997, 1)
(46.280000000000001, 1)
(4.8399999999999999, 0.40873038936464118)
(44.340000000000003, 1)
(23.199999999999999, 1)
(9.8100000000000005, 1)
(41.049999999999997, 1)
(24.280000000000001, 1)
(24.989999999999998, 0.42981103103359275)
(23.109999999999999, 1)
(25.579999999999998, 1)
(16.48, 1)
(34.18, 1)
(13.32, 1)
(15.85, 1)
(5.1799999999999997, 1)
(32.93, 0.19320657112297868)
(22.620000000000001, 1)
(13.09, 1)
(8.0999999999999996, 1)
(24.91, 1)
(7.6600000000000001, 0.32328835796856753)
(25.91, 1)
(48.090000000000003, 1)
(12.82, 1)
(30.620000000000001, 1)
(12.5, 1)
(11.539999999999999, 1)
(3.8199999999999998, 0.44146047788108556)
(13.949999999999999, 0.99156330354521305)
(18.91, 1)
(17.93, 1)
(23.719999999999999, 1)
(18.649999999999999, 1)
(41.390000000000001, 1)
(21.609999999999999, 1)
(10.970000000000001, 0.27280286481525318)
(33.670000000000002, 1)
(18.98, 1)
(8.5099999999999998, 1)
(38.109999999999999, 1)
(38.5, 1)
(26.309999999999999, 1)
(36.689999999999998, 1)
(41.130000000000003, 1)
(43.460000000000001, 1)
(13.33, 1)
(51.369999999999997, 1)
(4.0499999999999998, 1)
(8.5999999999999996, 1)
(43.119999999999997, 1)
(7.3099999999999996, 0.3440807037969103)
(8.0399999999999991, 0.99078577301880988)
(24.27, 1)
(50.299999999999997, 1)
(55.710000000000001, 0.93110965217831865)
(6.6600000000000001, 1)
