type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
bilinear,50,0,0,0,0.013386304378509522
bilinear,75,0,0,0,0.020968422889709473
bilinear,100,0,0,0,0.028687169551849367
bilinear,125,0,0,0,0.035043621063232423
bilinear,150,0,0,0,0.034336419105529786
bilinear,175,0,0,0,0.048572132587432863
separable,50,0.031285600419692652,0.017796929072013735,0.043003004829254871,0.0084055542945861809
separable,75,0.075176680499651538,0.019584570236218343,0.089972550517537775,0.0067882180213928219
separable,100,0.88920424142038756,0.021727516776081441,0.91182184079755146,0.031457321643829347
separable,125,0.99338395090345077,0.00019031141868512111,0.99367175684019515,0.035857586860656737
separable,150,0.99325089299061942,9.959150326797386e-05,0.99358469578136255,0.039167554378509523
separable,175,0.99744023729148767,0,0.99747080927073295,0.051648170948028566
pure,50,0.0051642253689960938,0.0021321222485090911,0.0067161551623567137,0.014549560546875
pure,75,0.021939894985876719,0.0032721610861806811,0.024138265601988698,0.02091587781906128
pure,100,0.090861672644944422,0.0012493878643813254,0.091793053107953368,0.029251153469085692
pure,125,0.1258232547747522,0.001226489834063644,0.12669270294248439,0.034328999519348147
pure,150,0.088751899597833431,0.00093324353617036001,0.08928517973685178,0.04065467357635498
pure,175,0.11020324780355539,0.0017993492081411974,0.11143036556761611,0.050963115692138669
general,50,0.00729718215582851,0.0049349215390353677,0.010215643815532954,0.01359633207321167
general,75,0.011449168866509233,0.0067036472051866481,0.015876118590314865,0.020686616897583009
general,100,0.05255791421269853,0.006726716811113591,0.056578951938440897,0.028350393772125244
general,125,0.060761744489696685,0.0016409072344508943,0.061693009008160979,0.033746778964996338
general,150,0.12061975849529807,0.0022680603323463034,0.12202643821559114,0.04443932294845581
general,175,0.090029871121266425,0.00038187842237981379,0.090267528241082834,0.052421963214874266
