(40.909999999999997, 0.020032448474399063)
(27.18, 0.0062868479902036785)
(20.969999999999999, 0.069936616498594159)
(15.52, 0.02708370505690184)
(11.140000000000001, 0)
(9.9000000000000004, 0.020521430930304004)
(28.02, 0.0035325505890059453)
(34.270000000000003, 0.16226382196772632)
(41.979999999999997, 0.0020479655293573181)
(34.149999999999999, 0.1547601003146892)
(46.520000000000003, 0.010549844389907487)
(36.899999999999999, 0)
(28.140000000000001, 0)
(27.510000000000002, 0.036691438064349366)
(4.3700000000000001, 0.057518336945260325)
(48.280000000000001, 0.0019178846382880749)
(40.359999999999999, 0)
(31.329999999999998, 0)
(5.4800000000000004, 0)
(4.2199999999999998, 0.23112986086137993)
(30.600000000000001, 0.042923488832997417)
(49.32, 0.0018132980394477813)
(44.810000000000002, 0)
(5.9900000000000002, 0.4289791897246063)
(11.93, 0.090171242598614615)
(39.079999999999998, 0.0038693884166967688)
(33.880000000000003, 0)
(45.32, 0.013720664720769172)
(11.050000000000001, 0.0053646783152312538)
(37.299999999999997, 0.0020020897610304993)
(24.699999999999999, 0.24514107187551962)
(41.43, 0.087496623381923905)
(27.34, 0)
(45.18, 0.0090287166452732437)
(20.539999999999999, 0)
(40.899999999999999, 0.033562925375448742)
(17.370000000000001, 0.090358675837147365)
(18.18, 0)
(11.23, 0.043280444134237726)
(11.869999999999999, 0.0027961100443915331)
(18.23, 0.020847275791805845)
(45.090000000000003, 0.0037396315962660793)
(33.789999999999999, 0.052431152884968413)
(11.779999999999999, 0.0022378899769102223)
(34.310000000000002, 0.0041346322131303251)
(41.210000000000001, 0)
(40.390000000000001, 0.045554352703087046)
(35.280000000000001, 0)
(16.640000000000001, 0.064739997239662853)
(48.829999999999998, 0)
(7.0099999999999998, 0.0060788592805101375)
(21.440000000000001, 0.028171267755170933)
(54.689999999999998, 0.048300720343659911)
(47.670000000000002, 0.052266932045375303)
(15.640000000000001, 0)
(18.120000000000001, 0.0069430399520446278)
(36.909999999999997, 0)
(10.84, 0.0026902768363034303)
(52.07, 0)
(14.609999999999999, 0)
(38.020000000000003, 0.10770052246343882)
(46.100000000000001, 0.049810282459539758)
(9.9600000000000009, 0.020436822573866788)
(15.779999999999999, 0.001985450145954359)
(25.379999999999999, 0.020927738631021812)
(53.350000000000001, 0)
(32.68, 0.019724125344295698)
(29.140000000000001, 0.067040360178612868)
(28.739999999999998, 0.22405349967041369)
(15.630000000000001, 0.01874261265108235)
(6.4699999999999998, 0)
(29.719999999999999, 0.051526675694228231)
(13.300000000000001, 0)
(30.260000000000002, 0.002094831954554636)
(38.420000000000002, 0)
(19.309999999999999, 0.0076282673352221012)
(5.04, 0)
(21.989999999999998, 0.0023758288065680866)
(55.18, 0.21554284323634187)
(18.789999999999999, 0)
(24.859999999999999, 0.015250360071453299)
(11.470000000000001, 0.080099298869447513)
(19.34, 0.10099125899424385)
(11.31, 0.0085714609546560967)
(34.539999999999999, 0.25027945293386211)
(29.670000000000002, 0.0034343690038071109)
(8.8800000000000008, 0.0024960984724666925)
(55.869999999999997, 0.055028350778189523)
(44.950000000000003, 0.020224536704776801)
(20.670000000000002, 0)
(32.18, 0.0097436911042757986)
(51.359999999999999, 0.018273337233323375)
(15.609999999999999, 0)
(12.83, 0.010350240560801853)
(24.010000000000002, 0)
(38.149999999999999, 0.0396419350957933)
(29.66, 0)
(37.020000000000003, 0.054539314097763379)
(46.670000000000002, 0.025510597938922422)
(34.079999999999998, 0.001546623430578346)
(37.149999999999999, 0.021975749640884026)
(24.390000000000001, 0.017916884724167317)
(20.390000000000001, 0.0020343998400359485)
(43.060000000000002, 0.0056581086749345113)
(9.6400000000000006, 0)
(36.969999999999999, 0)
(52.100000000000001, 0.030397195324228056)
(7.4199999999999999, 1)
(12.93, 0.048350466451225357)
(13.66, 0)
(38.789999999999999, 0)
(17.91, 0.03465621715009732)
(6.3300000000000001, 0.83469496108916486)
(46.240000000000002, 0.022121514292463514)
(16.120000000000001, 0.012760543347681667)
(14.81, 0.0025245564338980146)
(16.120000000000001, 0.043379525463272346)
(36.219999999999999, 0.0099706525255334379)
(17, 0.012871745494638943)
(17.879999999999999, 0)
(7.9100000000000001, 0.051254976497191337)
(28.329999999999998, 0.047303588373464767)
(26.640000000000001, 0.0059387104598469633)
(28.91, 0.019867690443366098)
(5.3300000000000001, 0)
(37.600000000000001, 0.017885949125781314)
(33.630000000000003, 0.012360735520793963)
(11, 0.028074017098040027)
(42.619999999999997, 0.44197399681670368)
(38.969999999999999, 0.0058325032111325318)
(41.810000000000002, 0.054507227547630523)
(15, 0.0055383071379165932)
(37.880000000000003, 0.0019616593502351401)
(36.240000000000002, 0.5224624161949869)
(3.8999999999999999, 0.17107573614507252)
(23.82, 0.0023323223821400097)
(10.94, 0)
(26.489999999999998, 0.31657139358771041)
(8.9000000000000004, 0.0028008558953613407)
(26.879999999999999, 0.027338720408059937)
(34.280000000000001, 0.020047265357439323)
(7.2300000000000004, 0.0079065013870846454)
(20.899999999999999, 0)
(16.789999999999999, 0.007296056225385269)
(19.949999999999999, 0)
(32.289999999999999, 0.060923131214530232)
(5.7599999999999998, 0.14609301657564339)
(8.0800000000000001, 0)
(9.2300000000000004, 0.51333422869507916)
(19.120000000000001, 0.050531325699740864)
(8.5700000000000003, 0)
(30.890000000000001, 0.071686823098108601)
(31.579999999999998, 0.019729841368996685)
(15.300000000000001, 0.010704122521740312)
(17.559999999999999, 0.001767335841148324)
(6.9100000000000001, 0.0024111287889596929)
(42.759999999999998, 0)
(22.57, 0.11623255621837386)
(10.06, 0.078475775827308442)
(18.82, 0.53832727152074067)
(28.309999999999999, 0.012285597315222465)
(31.120000000000001, 0)
(10.51, 0)
(6.1299999999999999, 0.064766424918993662)
(37.020000000000003, 0.07973086857914613)
(37.130000000000003, 0)
(50.130000000000003, 0.054845624223831282)
(42.710000000000001, 0.0073390856229157237)
(15.58, 0.0024283412777808453)
(47.670000000000002, 0.21440465407981521)
(27.670000000000002, 0.49584819795604718)
(9.0600000000000005, 0.15054911481506231)
(22.260000000000002, 0)
(24.5, 0.034705921619217948)
(32.740000000000002, 0)
