instance_name,type,n,R,num_anchors,alpha,edge_density,infeas_strategy,infeas_base,box_scale,log_domain_sum_orig,log_domain_sum_ps,num_quadratic_constraints_orig,num_quadratic_constraints_ps,num_linear_constraints_orig,num_linear_constraints_ps,parity_presolve_time,residue_presolve_time,num_parity_substitutions,num_pattern_substitutions,num_variables_fixed,num_constraints_tightened,num_constraints_eq_tightened,avg_relative_bound_tightening,infeasibility_detected,infeasibility_source
con_30,2_connected,20,100,3,0.0,0.2,,,,260.77632864698325,0.0,111,0,6,0,0.5493268966674805,9.5367431640625e-7,263,30,40,0,0,0.0,false,none
con_31,2_connected,100,100,3,0.0,0.1,,,,1395.946610669665,0.0,882,0,6,0,1.217189073562622,1.9073486328125e-6,1363,243,197,0,0,0.0,false,none
con_32,2_connected,100,100,3,0.0,0.1,,,,1381.1016538640843,13.169142076887965,882,9,6,0,0.8975279331207275,0.0010709762573242188,1326,2,193,2,0,0.0,false,none
con_33,2_connected,100,100,3,0.0,0.1,,,,1390.305644595915,0.0,882,0,6,0,1.1020441055297852,9.5367431640625e-7,1370,53,195,0,0,0.0,false,none
con_34,2_connected,100,100,3,0.0,0.1,,,,1416.1413621402996,0.0,882,0,6,0,0.7250158786773682,2.1457672119140625e-6,1383,0,194,0,0,0.0,false,none
con_35,2_connected,100,100,3,0.0,0.1,,,,1360.261934866951,0.0,882,0,6,0,1.09352707862854,1.9073486328125e-6,1339,96,195,0,0,0.0,false,none
con_36,2_connected,100,100,3,0.0,0.1,,,,1345.3669237161703,0.0,882,0,6,0,0.6788668632507324,2.1457672119140625e-6,1312,0,194,0,0,0.0,false,none
con_37,2_connected,100,100,3,0.0,0.1,,,,1377.6717208306288,0.0,882,0,6,0,0.7082140445709229,2.1457672119140625e-6,1332,0,194,0,0,0.0,false,none
con_38,2_connected,100,100,3,0.0,0.1,,,,1398.7164616882624,0.0,882,0,6,0,0.6451818943023682,2.1457672119140625e-6,1372,2,195,0,0,0.0,false,none
con_39,2_connected,100,100,3,0.0,0.1,,,,1394.8586973171268,0.0,882,0,6,0,4.727299928665161,2.1457672119140625e-6,1534,836,348,0,0,0.0,false,none
