strategy,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
mod2,0.19855005991843944,0.0038611585136760634,0.20150991958187545,0.030759302675724024
mod4,0.22738132761890559,0.0035826211546437208,0.22991424213643355,0.043829173247019453
full,0.22862460927312903,0.0033646382141246131,0.23098443418091674,0.044546923935413367
